sid,observation_time,variable,bucket,object_key,object_size_bytes,object_etag,access_date
2019231N13135,2019-08-21T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019082100_2019082123.nc,1675873528,f1e437e3dbdebe90da3b2081723b6cca-200,2026-08-02
2019231N13135,2019-08-21T21:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019082100_2019082123.nc,1394739790,f39ee0c0461e5dd977f86b2309ac7576-167,2026-08-02
2019231N13135,2019-08-21T21:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019082100_2019082123.nc,1568187403,38afb4f67207a961f73cdf00efa4fa1d-187,2026-08-02
2019231N13135,2019-08-21T21:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019082100_2019082123.nc,1675873528,f1e437e3dbdebe90da3b2081723b6cca-200,2026-08-02
2019236N08143,2019-08-25T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019082500_2019082523.nc,1415188947,0b0653c1748ebcead68d74b647630fab-169,2026-08-02
2019236N08143,2019-08-25T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019082500_2019082523.nc,1552661388,d2277a292756dc04594088392710fb47-186,2026-08-02
2019236N08143,2019-08-25T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019082500_2019082523.nc,1697674255,2134dc5b323590f5ad1c175dfe1d6a4f-203,2026-08-02
2019236N08143,2019-08-26T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019082600_2019082623.nc,1427476584,8e207e32bf392930b16157c05e4dd75a-171,2026-08-02
2019236N08143,2019-08-26T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019082600_2019082623.nc,1552214670,ea92f1e06145882eca258a5fbc91d4d2-186,2026-08-02
2019236N08143,2019-08-26T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019082600_2019082623.nc,1697905578,26467f6ad130f5df71543542d26e8cff-203,2026-08-02
2019236N08143,2019-08-27T00:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019082700_2019082723.nc,1431798288,10df0024a6681cb49d2c6d60c91728a0-171,2026-08-02
2019236N08143,2019-08-27T00:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019082700_2019082723.nc,1564459539,cc6332f8dbf8d09706198d51131cbc72-187,2026-08-02
2019236N08143,2019-08-27T00:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019082700_2019082723.nc,1691670178,3450d59c3ee219f9d851c70a15dcff55-202,2026-08-02
2019236N08143,2019-08-27T21:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019082700_2019082723.nc,1431798288,10df0024a6681cb49d2c6d60c91728a0-171,2026-08-02
