sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,pair_id
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T15:00:00+00:00,-21,23.9,138.4,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T18:00:00+00:00,-18,25.3,137.5,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-28T21:00:00+00:00,-15,26.8,136.0,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-29T00:00:00+00:00,-12,28.0,134.5,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-29T03:00:00+00:00,-9,28.7,133.2,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-29T06:00:00+00:00,-6,29.1,132.0,2
2022208N15143,SONGDA,0,2022-07-29T12:00:00+00:00,72h_after_first_track,2022-07-29T09:00:00+00:00,-3,29.6,130.9,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T00:00:00+00:00,-72,12.6,135.1,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T03:00:00+00:00,-69,12.7,134.9,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T06:00:00+00:00,-66,12.8,134.7,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T09:00:00+00:00,-63,12.9,134.5,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T12:00:00+00:00,-60,13.0,134.2,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T15:00:00+00:00,-57,13.1,134.1,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T18:00:00+00:00,-54,13.2,134.0,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-19T21:00:00+00:00,-51,13.3,133.9,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T00:00:00+00:00,-48,13.5,133.8,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T03:00:00+00:00,-45,13.6,133.7,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T06:00:00+00:00,-42,13.7,133.6,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T09:00:00+00:00,-39,13.9,133.5,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T12:00:00+00:00,-36,14.1,133.3,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T15:00:00+00:00,-33,14.2,133.1,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T18:00:00+00:00,-30,14.4,132.9,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-20T21:00:00+00:00,-27,14.5,132.7,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T00:00:00+00:00,-24,14.6,132.4,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T03:00:00+00:00,-21,14.8,132.0,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T06:00:00+00:00,-18,14.9,131.6,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T09:00:00+00:00,-15,15.1,131.2,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T12:00:00+00:00,-12,15.2,130.7,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T15:00:00+00:00,-9,15.4,130.4,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T18:00:00+00:00,-6,15.6,130.1,2
2019231N13135,BAILU,1,2019-08-22T00:00:00+00:00,first_US_TS_or_34kt,2019-08-21T21:00:00+00:00,-3,15.7,129.6,2
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T00:00:00+00:00,-72,22.2,118.7,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T03:00:00+00:00,-69,22.2,118.8,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T06:00:00+00:00,-66,22.2,119.0,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T09:00:00+00:00,-63,22.1,119.2,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T12:00:00+00:00,-60,22.2,119.4,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T15:00:00+00:00,-57,22.2,119.7,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T18:00:00+00:00,-54,22.3,120.0,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-22T21:00:00+00:00,-51,22.5,120.2,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T00:00:00+00:00,-48,22.8,120.5,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T03:00:00+00:00,-45,23.1,120.4,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T06:00:00+00:00,-42,23.4,120.4,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T09:00:00+00:00,-39,23.6,120.4,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T12:00:00+00:00,-36,23.8,120.4,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T15:00:00+00:00,-33,24.0,120.3,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T18:00:00+00:00,-30,24.1,120.3,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-23T21:00:00+00:00,-27,24.2,120.3,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T00:00:00+00:00,-24,24.3,120.3,3
