sid,name,outcome,pair_id,endpoint_time,endpoint_type,cutoff_hour,n_available_frames,n_trailing_frames,median_lat,median_lon,endpoint_day_sin,endpoint_day_cos,cold_cloud_fraction__trailing_median,very_cold_fraction__trailing_median,radial_concentration__trailing_median,azimuthal_symmetry__trailing_median,largest_patch_fraction__trailing_median,cold_centroid_offset_km__trailing_median
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,-24,17,4,22.8,120.3,-0.8048257371083452,-0.593511190196115,0.23017946827691937,0.0554509554058313,0.24733296036720273,0.0,0.8284766822967979,262.4454293356452
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,-24,17,4,7.0,132.8,-0.8786374941610001,-0.4774894280028391,0.3993924054957946,0.1159357838332653,0.1981408074498176,0.36424911635280843,0.82776494777414,116.99734157141728
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,-24,17,4,16.4,125.9,-0.9093882203647925,-0.4159483918249421,0.16481363729255544,0.04189148172736165,0.0114987354027107,0.0,0.8431615138589026,322.28853437054573
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,-24,17,4,10.7,151.0,-0.9977068927101168,-0.06768276175455162,0.33984009286469274,0.11875600367784495,0.17462039738893506,0.23938701090462836,0.9426144388188238,152.45380207565012
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,-24,17,4,24.8,139.2,-0.9288394302558068,0.3704825404820963,0.04891219069698885,0.0018513335380703,0.3081234693527221,0.0018905788407784,0.5391460227141247,134.367111581422
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,-12,21,4,16.9,127.8,-0.2614143985111562,-0.965226663665613,0.3699403934537818,0.15455815196037292,0.0565272960811853,0.3150002434307665,0.6783727125472796,145.03708269896487
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,-12,21,4,15.0,115.3,-0.07518957641475855,-0.9971692572470178,0.33575705712299486,0.08068538829684255,0.0944369919598102,0.3416082268293278,0.6640446828829074,124.67697794343512
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,-12,21,4,13.7,133.6,-0.7731383255706026,-0.6342374393978054,0.4931829002738442,0.12965659797191614,0.16042649000883097,0.4325966163802804,0.9325580851044415,119.70998264933179
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,-12,21,4,18.5,140.7,-0.45370308603134424,-0.8911529104063088,0.2166907568751099,0.03010856639593835,0.2181974947452545,0.44232698595511355,0.36980252217783355,67.2373387122937
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,-12,21,4,13.2,131.1,-0.8343701235229537,-0.5512045872199277,0.38653288020696697,0.11983789876103401,0.13790388405323023,0.11911853709617476,0.9445437552884919,239.4335294340916
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,-12,21,4,23.4,120.3,-0.8048257371083452,-0.593511190196115,0.24392810786346192,0.029765777289867353,0.10950168594717975,0.05315872838390905,0.7840562662559696,201.7432319526409
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,-12,21,4,8.0,131.9,-0.8786374941610001,-0.4774894280028391,0.325369056105243,0.06064199656248084,0.17924065887928003,0.3952390060721238,0.6058283615932272,125.99674563311686
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,-12,21,4,16.7,125.2,-0.9093882203647925,-0.4159483918249421,0.17498215188859295,0.07697909697890275,0.20815245807170862,0.0,0.9628634766612674,321.1687238229233
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,-12,21,4,11.2,149.4,-0.9977068927101168,-0.06768276175455162,0.39238551447479453,0.1741411313414573,0.1063372045755386,0.30511160571888685,0.9545270894676593,183.72485948872543
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,-12,21,4,24.6,139.3,-0.9288394302558068,0.3704825404820963,0.022822872753341,8.158511263900436e-05,0.4753388464450836,0.0,0.4809932568602969,60.311693705555314
2019195N13136,DANAS,1,1,2019-07-17 12:00:00+00:00,first_US_TS_or_34kt,-3,24,4,16.9,126.7,-0.2614143985111562,-0.965226663665613,0.4223750250509355,0.1705485880374908,0.04952557571232315,0.34999112249089526,0.5257441152196644,69.56035625946691
2021185N13121,UNNAMED,0,1,2021-07-06 18:00:00+00:00,72h_after_first_track,-3,24,4,15.149999999999999,114.25,-0.07518957641475855,-0.9971692572470178,0.29331854745995056,0.03527775779366485,0.0549120437353849,0.3989563896737429,0.5144786014047877,126.74422624752273
2019231N13135,BAILU,1,2,2019-08-22 00:00:00+00:00,first_US_TS_or_34kt,-3,24,4,14.0,133.4,-0.7731383255706026,-0.6342374393978054,0.4646118775880701,0.22304097563028336,0.17756999284029007,0.4284555165848666,0.9101437965765714,102.74988040258965
2022208N15143,SONGDA,0,2,2022-07-29 12:00:00+00:00,72h_after_first_track,-3,24,4,19.25,140.4,-0.45370308603134424,-0.8911529104063088,0.22029383889272175,0.0263529131188988,0.28816101700067515,0.3502522971404801,0.6397860398293095,113.29165682825777
2019236N08143,PODUL,1,3,2019-08-28 00:00:00+00:00,first_US_TS_or_34kt,-3,24,4,13.45,129.9,-0.8343701235229537,-0.5512045872199277,0.38361459597250713,0.183607168495655,0.19553805142641065,0.23851763299842155,0.7757355683510895,206.898435578121
2018234N22119,UNNAMED,0,3,2018-08-25 00:00:00+00:00,72h_after_first_track,-3,24,4,23.700000000000003,120.25,-0.8048257371083452,-0.593511190196115,0.1449296104079446,0.04406936094164845,0.1475143618881702,0.09347610850793606,0.4083089887287491,184.45392947046287
2019243N06136,LINGLING,1,4,2019-09-02 06:00:00+00:00,first_US_TS_or_34kt,-3,24,4,8.95,131.15,-0.8786374941610001,-0.4774894280028391,0.3082498165511389,0.09359124675393099,0.2336973696947097,0.7066275539273128,0.7387227781517556,63.76058713106846
2017247N16132,GUCHOL,0,4,2017-09-06 12:00:00+00:00,72h_after_first_track,-3,24,4,17.25,124.9,-0.9093882203647925,-0.4159483918249421,0.1372296863197935,0.0629704780876636,0.1479348540306091,0.0,0.9506588902434976,337.21121539576035
2019268N10155,MITAG,1,5,2019-09-27 12:00:00+00:00,first_US_TS_or_34kt,-3,24,4,11.6,147.75,-0.9977068927101168,-0.06768276175455162,0.34488334181293345,0.068564586341381,0.24559477716684336,0.42140205539891645,0.8480215010112452,103.29525445490718
2020293N23139,UNNAMED,0,5,2020-10-22 06:00:00+00:00,72h_after_first_track,-3,24,4,24.700000000000003,139.35000000000002,-0.9288394302558068,0.3704825404820963,0.0149521821085682,3.803894810516795e-05,0.42957183718681335,0.0,0.5382097454170183,121.67070942174131
